
#$Filter:1
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.4, mW
#$WAVELENGTH:1064,nm
#$OBJECT:SiNW4.6mkm_normal, bscat	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
0.0	0.0859375	0.200534759358	4.86675470169	0	1512212004.5560863	60.9523809524	0.446524064171
0.0	0.0859375	0.226328695826	4.62111796456	0	1512212005.2983847	61.3173652695	0.461140819964
0.0	0.0875	0.645796197267	5.08469159062	0	1512212006.0813065	61.3173652695	0.443137254902
360.0	0.0875	0.0906450320513	4.52813652344	0	1512212006.5571108	60.9523809524	0.464349376114
359.5	0.0875	0.0906450320513	4.52813652344	0	1512212007.3426907	60.9523809524	0.464349376114
359.0	0.0875	0.540210233029	4.70476883314	0	1512212008.1029592	61.3173652695	0.4647686827
359.0	0.0859375	0.684866379742	4.64646573393	0	1512212008.555605	61.686746988	0.46261925298
358.5	0.0875	0.348639455782	4.70275767026	0	1512212009.3295798	60.5917159763	0.461497326203
358.0	0.0875	0.237670068027	4.85235525018	0	1512212010.0881398	60.5917159763	0.461497326203
358.0	0.0875	1.02311296859	4.57874247511	0	1512212010.5554645	60.5917159763	0.461660300484
357.5	0.0875	1.02311296859	4.57874247511	0	1512212011.3326745	60.5917159763	0.461660300484
357.0	0.0875	35.8652398635	3.9422977392	0	1512212012.0940433	60.5917159763	0.455614973262
357.0	0.0890625	41.5343115293	4.50343036733	0	1512212012.5590537	60.5917159763	0.461675579323
356.5	0.0890625	41.5343115293	4.50343036733	0	1512212013.300738	60.5917159763	0.461675579323
356.0	0.0875	34.0980576441	4.29570594538	0	1512212014.088999	60.5917159763	0.461660300484
356.0	0.0875	38.5329241071	4.7932894324	0	1512212014.5594978	60.2352941176	0.464868856634
355.5	0.0875	39.6907894737	4.36613169243	0	1512212015.3105142	60.5917159763	0.461497326203
355.0	0.0875	32.1651785714	4.94792897421	0	1512212016.0863338	60.2352941176	0.458971224854
355.0	0.0890625	37.2048189725	4.03956712464	0	1512212016.5553048	60.5917159763	0.449717341482
354.5	0.0890625	37.2048189725	4.03956712464	0	1512212017.311269	60.5917159763	0.449717341482
354.0	0.0890625	33.8965053763	4.35795927289	0	1512212018.086033	60.5917159763	0.455614973262
354.0	0.0890625	35.4741357652	4.40176372656	0	1512212018.554988	60.2352941176	0.458823529412
353.5	0.0890625	32.5093095813	4.11522761022	0	1512212019.3128366	60.5917159763	0.449885408709
353.0	0.0875	32.2806490385	4.88687423519	0	1512212020.0940766	60.5917159763	0.45003724217
353.0	0.0890625	33.4110453013	4.83510439413	0	1512212020.5592632	60.2352941176	0.458971224854
352.5	0.0890625	33.4110453013	4.83510439413	0	1512212021.321808	60.2352941176	0.458971224854
352.0	0.0875	33.4454467354	4.97244390745	0	1512212022.1104038	60.5917159763	0.461497326203
352.0	0.0890625	33.0783110119	4.61889420462	0	1512212022.560269	60.9523809524	0.451684067566
351.5	0.0890625	33.0783110119	4.61889420462	0	1512212023.32226	60.9523809524	0.451684067566
351.0	0.0875	28.5742342387	4.47663910197	0	1512212024.0974612	60.5917159763	0.455614973262
350.5	0.0875	35.3435496795	4.47391547778	0	1512212024.5554845	59.8830409357	0.455926491809
350.5	0.0875	35.3435496795	4.47391547778	0	1512212025.3342147	59.8830409357	0.455926491809
350.0	0.0875	32.8603707108	4.68619823652	0	1512212026.0931425	60.5917159763	0.437730243613
349.5	0.0921875	33.8339961936	4.49877555678	0	1512212026.55285	60.5917159763	0.467557932264
349.0	0.0921875	33.8339961936	4.49877555678	0	1512212027.3270946	60.5917159763	0.467557932264
349.0	0.0890625	32.0499620061	4.14179627226	0	1512212028.1106215	60.5917159763	0.455614973262
348.5	0.0890625	33.9108289843	4.7644116524	0	1512212028.5595057	60.5917159763	0.461660300484
348.0	0.0875	28.4899092616	4.60272729801	0	1512212029.3426383	60.9523809524	0.440593964859
348.0	0.0859375	29.3734045164	4.42697103699	0	1512212030.1324916	60.9523809524	0.470394703336
347.5	0.0890625	27.2759433962	6.08414287398	0	1512212030.5612264	60.5917159763	0.467557932264
347.0	0.0890625	30.4731721698	4.52250943892	0	1512212031.3433745	60.5917159763	0.467557932264
347.0	0.0859375	34.5444280805	4.4921590166	0	1512212032.1251965	60.5917159763	0.461497326203
346.5	0.0875	29.3853183962	4.14528200575	0	1512212032.5529594	60.9523809524	0.458288770053
346.0	0.0890625	31.9877653302	5.00079259026	0	1512212033.3299513	60.2352941176	0.458823529412
346.0	0.0875	30.8677455357	5.03639672287	0	1512212034.1101146	60.2352941176	0.458792971734
345.5	0.0875	29.1519007732	4.62148019326	0	1512212034.5589874	60.2352941176	0.458971224854
345.0	0.0875	29.1519007732	4.62148019326	0	1512212035.349623	60.2352941176	0.458971224854
344.5	0.0875	30.5485491071	4.73016205923	0	1512212036.1326118	60.9523809524	0.452212885154
344.5	0.0875	30.5152780531	4.60566744884	0	1512212036.561421	60.5917159763	0.449885408709
344.0	0.0875	30.5152780531	4.60566744884	0	1512212037.3204873	60.5917159763	0.449885408709
343.5	0.0875	26.3607633775	5.21423135436	0	1512212038.094129	60.2352941176	0.458986503692
343.5	0.0890625	33.6118287741	4.80429790341	0	1512212038.5560954	60.5917159763	0.455614973262
343.0	0.0890625	33.6118287741	4.80429790341	0	1512212039.3109941	60.5917159763	0.455614973262
342.5	0.0875	28.6990672558	3.90409946471	0	1512212040.0890403	60.5917159763	0.455614973262
342.5	0.0875	32.4851074694	4.22792326554	0	1512212040.5530362	60.2352941176	0.458808250573
342.0	0.0875	32.4851074694	4.22792326554	0	1512212041.3045073	60.2352941176	0.458808250573
341.5	0.0875	26.3415178571	3.5901000024	0	1512212042.081765	60.9523809524	0.458467023173
341.5	0.0890625	30.0645758815	4.90524833406	0	1512212042.5574837	60.2352941176	0.458971224854
341.0	0.0890625	30.2796052632	4.45616258945	0	1512212043.3165555	60.5917159763	0.461660300484
340.5	0.0875	26.6165865385	4.17522110564	0	1512212044.0904453	60.5917159763	0.455614973262
340.5	0.0875	26.9680451128	4.54402594279	0	1512212044.5619152	60.5917159763	0.461660300484
340.0	0.0875	26.9680451128	4.54402594279	0	1512212045.3241374	60.5917159763	0.461660300484
339.5	0.090625	26.0510651629	4.14227554757	0	1512212046.1010103	60.2352941176	0.458971224854
339.5	0.0890625	27.9594378989	4.36855291088	0	1512212046.554949	60.2352941176	0.458823529412
339.0	0.0890625	27.9594378989	4.36855291088	0	1512212047.3085473	60.2352941176	0.458823529412
338.5	0.0875	28.1911057692	4.95698198927	0	1512212048.0878649	60.5917159763	0.455614973262
338.5	0.0875	29.798921131	4.60656603993	0	1512212048.5554402	60.5917159763	0.455614973262
338.0	0.0875	29.798921131	4.60656603993	0	1512212049.3146973	60.5917159763	0.455614973262
337.5	0.0875	27.2231883695	4.71788565676	0	1512212050.091227	60.9523809524	0.445695091331
337.0	0.0875	26.9307684748	5.00595178537	0	1512212050.5584092	60.9523809524	0.458273491215
337.0	0.0875	26.9307684748	5.00595178537	0	1512212051.3379917	60.9523809524	0.458273491215
336.5	0.0890625	22.3384266078	8.40541529229	0	1512212052.0911794	60.5917159763	0.461660300484
336.0	0.0890625	27.2345753205	4.24472880016	0	1512212052.5601678	60.2352941176	0.452925897632
336.0	0.0890625	29.2758413462	4.08142709186	0	1512212053.3377788	60.2352941176	0.452925897632
335.5	0.0875	24.1250613648	3.90407223875	0	1512212054.100813	60.5917159763	0.461660300484
335.0	0.0875	25.3876201923	4.4774780478	0	1512212054.5548518	60.2352941176	0.452941176471
335.0	0.0890625	27.8662574405	4.64230765979	0	1512212055.333668	60.5917159763	0.455777947543
