
#$Filter:1
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:50.7, mW
#$WAVELENGTH:532,nm
#$OBJECT:cSi, on wires	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
0.0	0.1833332875	0.000211507679817	0.00249562259967	0	1510325610.064574	47.3526011561	0.520216701903
0.0	0.1833332875	0.00407599411273	0.00201808599731	0	1510325610.8674707	47.3526011561	0.531844608879
0.0	0.187499953125	0.00901540390861	0.00351033980984	0	1510325611.7461128	47.2615384615	0.546159267089
360.0	0.1833332875	0.0761787024439	0.0209648165009	0	1510325612.6732152	47.3526011561	0.526030655391
360.0	0.187499953125	0.126316777538	0.0357580101371	0	1510325613.1851163	46.9007633588	0.54193093728
360.0	0.187499953125	0.0468441359806	0.0791517069179	0	1510325614.0658772	46.9007633588	0.54193093728

#$Filter:1
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:50.7, mW
#$WAVELENGTH:532,nm
#$OBJECT:cSi, on wires	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
359.5	0.187499953125	0.272120030009	0.0676502768233	0	1510325618.050251	47.2615384615	0.546159267089
359.0	0.187499953125	0.455643393492	0.0360015832816	0	1510325618.8842876	47.0804597701	0.545983086681
358.5	0.1833332875	1.7214449557	0.0084027657023	0	1510325619.7760332	47.0804597701	0.545983086681

#$Filter:1
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:50.7, mW
#$WAVELENGTH:532,nm
#$OBJECT:cSi, on wires	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
358.5	0.187499953125	4.21120843099	1.05637953838	0	1510325626.1126082	47.6279069767	0.550387596899

#$Filter:1
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:50.7, mW
#$WAVELENGTH:532,nm
#$OBJECT:cSi, on wires	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
358.0	0.187499953125	1.54618732823	2.29853812744	0	1510325629.0543203	47.6279069767	0.558139534884
357.5	0.187499953125	3.86371952227	0.94848232012	0	1510325629.8224835	47.6279069767	0.550387596899
357.5	0.1833332875	3.00157028786	0.79080414425	0	1510325630.5900488	47.6279069767	0.53488372093
357.5	0.187499953125	2.13220934987	1.14053207594	0	1510325631.0582588	47.6279069767	0.529069767442
357.0	0.187499953125	2.51657296765	0.643444870581	0	1510325631.8341694	47.6279069767	0.558139534884
356.5	0.1833332875	2.0366641567	0.452919820479	0	1510325632.6090944	47.6279069767	0.523255813953
356.5	0.187499953125	1.44907926958	0.381897906002	0	1510325633.0600913	47.2615384615	0.546159267089
356.0	0.1833332875	0.816533779773	0.156071809531	0	1510325633.9187598	47.3526011561	0.520216701903
356.0	0.187499953125	0.167967144883	0.101359019797	0	1510325634.3839657	47.2615384615	0.553911205074
356.0	0.187499953125	0.449482275946	0.107844288661	0	1510325635.2117007	47.2615384615	0.553911205074
355.5	0.187499953125	0.322383872985	0.0798032207529	0	1510325636.0516934	47.3526011561	0.549154334038
355.0	0.187499953125	0.25907229727	0.0637174583694	0	1510325636.842327	47.3526011561	0.54334038055
355.0	0.1833332875	0.248989533591	0.0652367048139	0	1510325637.6339865	47.0804597701	0.52299154334
355.0	0.187499953125	0.227781300443	0.0625005630759	0	1510325638.063238	47.3526011561	0.554968287526
354.5	0.187499953125	0.252971125233	0.0655085587265	0	1510325638.8232112	47.0804597701	0.52299154334
354.0	0.1833332875	0.246873687781	0.0631369066857	0	1510325639.6127064	47.3526011561	0.526030655391
354.0	0.187499953125	0.0377336088002	0.126779474686	0	1510325640.1240563	47.6279069767	0.53488372093
354.0	0.187499953125	0.226127520788	0.0634858430454	0	1510325640.8979218	47.6279069767	0.558139534884
353.5	0.1833332875	0.227706025506	0.0524091348163	0	1510325641.6667237	47.6279069767	0.523255813953
353.5	0.187499953125	0.228205372955	0.0573655857781	0	1510325642.0982037	47.6279069767	0.542635658915
353.0	0.187499953125	0.231019530786	0.0572355493745	0	1510325642.8645284	47.6279069767	0.550387596899
353.0	0.187499953125	0.245578169898	0.0636994585566	0	1510325643.6595309	47.2615384615	0.553911205074
352.5	0.1833332875	0.222726860371	0.0516341461688	0	1510325644.0792882	47.3526011561	0.520216701903
352.5	0.1833332875	0.230824016368	0.0540970574549	0	1510325644.891349	47.0804597701	0.517177589852
352.0	0.187499953125	0.230569764877	0.0581153615823	0	1510325645.6970546	47.0804597701	0.545983086681
351.5	0.187499953125	0.225720231685	0.056553664284	0	1510325646.5599895	47.0804597701	0.551797040169
351.5	0.1833332875	0.113172740814	0.106221202275	0	1510325647.0636797	47.3526011561	0.549154334038
351.0	0.1833332875	0.21155957096	0.0535242284837	0	1510325647.8228576	47.3526011561	0.549154334038
350.5	0.187499953125	0.220620343749	0.052738019802	0	1510325648.6135457	47.3526011561	0.520216701903
350.5	0.187499953125	0.105074503543	0.113015180485	0	1510325649.0614514	47.0804597701	0.52299154334
350.0	0.187499953125	0.231690118148	0.0582156109688	0	1510325649.8244708	47.2615384615	0.553911205074
349.5	0.187499953125	0.218079126465	0.059126495783	0	1510325650.6144552	47.2615384615	0.553911205074
349.5	0.187499953125	0.237691831235	0.0627166997895	0	1510325651.0612414	47.6279069767	0.550387596899
348.5	0.1833332875	0.222538959971	0.0567309522915	0	1510325651.8272073	47.6279069767	0.523255813953
348.5	0.187499953125	0.227125793559	0.0600831411957	0	1510325652.6099262	47.6279069767	0.558139534884
348.0	0.187499953125	0.0271828386075	0.120453492537	0	1510325653.120919	47.6279069767	0.542635658915
348.0	0.1833332875	0.213934270246	0.0544141900863	0	1510325653.906933	47.3526011561	0.520216701903
347.5	0.187499953125	0.230045710796	0.0609993670779	0	1510325654.6858401	47.2615384615	0.553911205074
