x0000,y0000,x0001,y0001
0,122,0,176,
1,128,1,177,
2,113,2,177,
3,120,3,176,
4,111,4,176,
5,118,5,176,
6,136,6,170,
7,130,7,157,
8,129,8,145,
9,128,9,135,
10,131,10,126,
11,127,11,118,
12,137,12,111,
13,149,13,105,
14,145,14,99,
15,122,15,95,
16,128,16,91,
17,146,17,88,
18,141,18,85,
19,145,19,82,
20,134,20,80,
21,131,21,79,
22,121,22,77,
23,126,23,75,
24,149,24,73,
25,130,25,74,
26,147,26,73,
27,131,27,72,
28,132,28,72,
29,137,29,70,
30,137,30,70,
31,132,31,71,
32,123,32,80,
33,120,33,95,
34,117,34,109,
35,120,35,121,
36,120,36,131,
37,126,37,139,
38,119,38,146,
39,110,39,152,
40,121,40,157,
41,119,41,161,
42,124,42,165,
43,116,43,167,
44,134,44,169,
45,116,45,171,
46,128,46,172,
47,125,47,174,
48,149,48,174,
49,124,49,175,
50,131,50,175,
51,100,51,176,
52,115,52,176,
53,109,53,176,
54,121,54,176,
55,90,55,176,
56,102,56,177,
57,100,57,177,
58,111,58,174,
59,131,59,165,
60,160,60,153,
61,145,61,141,
62,145,62,131,
63,122,63,123,
64,160,64,116,
65,138,65,109,
66,161,66,103,
67,135,67,98,
68,134,68,94,
69,137,69,90,
70,137,70,87,
71,139,71,85,
72,136,72,82,
73,139,73,80,
74,136,74,78,
75,132,75,77,
76,134,76,75,
77,135,77,74,
78,132,78,73,
79,137,79,72,
80,136,80,72,
81,130,81,71,
82,142,82,71,
83,145,83,70,
84,142,84,70,
85,127,85,71,
86,116,86,82,
87,119,87,98,
88,113,88,111,
89,131,89,122,
90,118,90,132,
91,113,91,140,
92,109,92,147,
93,119,93,153,
94,126,94,158,
95,125,95,162,
96,144,96,165,
97,125,97,168,
98,107,98,170,
99,113,99,171,
100,128,100,173,
101,125,101,173,
102,108,102,175,
103,111,103,175,
104,111,104,175,
105,126,105,176,
106,119,106,177,
107,129,107,176,
108,119,108,176,
109,127,109,176,
110,120,110,177,
111,129,111,175,
112,129,112,171,
113,134,113,159,
114,137,114,147,
115,134,115,137,
116,135,116,127,
117,135,117,119,
118,131,118,112,
119,146,119,106,
120,132,120,101,
121,137,121,96,
122,126,122,92,
123,143,123,88,
124,129,124,86,
125,149,125,83,
126,135,126,80,
127,150,127,79,
128,128,128,77,
129,156,129,75,
130,143,130,74,
131,159,131,74,
132,151,132,72,
133,137,133,72,
134,116,134,71,
135,125,135,71,
136,121,136,70,
137,138,137,71,
138,91,138,78,
139,102,139,92,
140,97,140,107,
141,109,141,119,
142,117,142,128,
143,138,143,138,
144,124,144,145,
145,138,145,151,
146,113,146,157,
147,135,147,160,
148,126,148,164,
149,129,149,167,
150,124,150,169,
151,121,151,171,
152,120,152,172,
153,121,153,173,
154,122,154,174,
155,125,155,175,
156,121,156,176,
157,124,157,176,
158,119,158,176,
159,119,159,176,
160,119,160,176,
161,124,161,177,
162,119,162,177,
163,124,163,176,
164,121,164,175,
165,139,165,168,
166,144,166,155,
167,138,167,143,
168,138,168,133,
169,131,169,124,
170,129,170,116,
171,128,171,111,
172,141,172,104,
173,147,173,99,
174,140,174,94,
175,128,175,91,
176,141,176,88,
177,147,177,85,
178,145,178,82,
179,151,179,80,
180,143,180,78,
181,113,181,77,
182,129,182,75,
183,132,183,75,
184,152,184,73,
185,119,185,72,
186,136,186,72,
187,128,187,71,
188,131,188,71,
189,131,189,70,
190,133,190,69,
191,134,191,70,
192,122,192,79,
193,121,193,94,
194,122,194,109,
195,121,195,120,
196,125,196,131,
197,117,197,138,
198,118,198,146,
199,122,199,151,
200,120,200,156,
201,121,201,161,
202,124,202,164,
203,107,203,167,
204,125,204,169,
205,105,205,171,
206,122,206,172,
207,121,207,173,
208,124,208,174,
209,126,209,175,
210,130,210,175,
211,118,211,176,
212,149,212,176,
213,142,213,176,
214,150,214,176,
215,130,215,176,
216,123,216,177,
