
#$Filter:op09
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.12848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:52, mW
#$WAVELENGTH:532,nm
#$OBJECT:ZnO1, on wires	=	=	=	=	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
331.5	0.185416620313	0.268060499995	0.0679533856531	2	1510575450.7542849	47.0804597701	0.528805496829
331.5	0.185416620313	0.200860293923	0.113317065511	2	1510575451.2087178	47.0804597701	0.52299154334
331.0	0.185416620313	0.274294032228	0.0699742116691	2	1510575452.0025818	47.0804597701	0.528805496829
331.0	0.185416620313	0.280249217687	0.0619486223071	2	1510575452.783286	47.0804597701	0.517177589852
331.0	0.185416620313	0.272109445184	0.0632999099714	2	1510575453.7431085	47.0804597701	0.52299154334
331.0	0.185416620313	0.255149152737	0.0554671477133	2	1510575454.7400763	47.0804597701	0.517177589852
330.5	0.187499953125	0.266574063008	0.0658552873691	2	1510575455.7370923	47.0804597701	0.528805496829
330.5	0.185416620313	0.286284442234	0.0698736745415	2	1510575456.7519968	47.3526011561	0.526030655391

#$Filter:op09
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.12848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:52, mW
#$WAVELENGTH:532,nm
#$OBJECT:ZnO1, on wires	=	=	=	=	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
330.0	0.185416620313	0.262579924598	0.0703851519231	2	1510575466.2840066	47.6279069767	0.558139534884
330.0	0.185416620313	0.257989963993	0.055501982917	2	1510575467.1182542	47.6279069767	0.511627906977
330.0	0.185416620313	0.260056202792	0.0545600413438	2	1510575467.8797932	47.6279069767	0.511627906977
330.0	0.187499953125	0.231120002357	0.083994168512	2	1510575468.2961285	47.3526011561	0.526030655391
329.5	0.185416620313	0.245944239774	0.0629097137773	2	1510575469.0546403	47.3526011561	0.531844608879
329.5	0.185416620313	0.242274349195	0.0578642926386	2	1510575469.8473697	47.0804597701	0.52299154334
329.5	0.185416620313	0.18897546822	0.0913090175602	2	1510575470.2928467	47.0804597701	0.528805496829
329.5	0.185416620313	0.242290785744	0.0561070874731	2	1510575471.0807421	47.0804597701	0.52299154334
329.0	0.187499953125	0.256304957933	0.0621545686508	2	1510575471.8411996	47.0804597701	0.528805496829
329.0	0.187499953125	0.238914470186	0.069276736165	2	1510575472.2923963	47.0804597701	0.517177589852
329.0	0.187499953125	0.254590070946	0.0668086338239	2	1510575473.0493257	47.0804597701	0.528805496829
329.0	0.187499953125	0.258236253423	0.0599666366885	2	1510575473.8081908	47.2615384615	0.523079633545
329.0	0.187499953125	0.244931243338	0.0592247612818	2	1510575474.2941992	46.9007633588	0.549682875264
328.5	0.185416620313	0.248244744764	0.0577891607466	2	1510575475.0545604	46.5454545455	0.545454545455

#$Filter:op09
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09	0.02848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:52, mW
#$WAVELENGTH:532,nm
#$OBJECT:ZnO1, on wires	=	=	=	=	=	=	=	=	=	=	=
angle	ref	signal	signal_std	filter	Time	freq	duty_cycle
0.5	0.187499953125	0.00139209147415	0.00152545816736	2	1510577036.1180356	47.9064327485	0.555509413068
1.0	0.189583285938	0.00169826756607	0.00148235620621	2	1510577036.881903	47.6279069767	0.552325581395
1.5	0.189583285938	0.00161565681258	0.00139418659509	2	1510577037.6452973	47.6279069767	0.558139534884
1.5	0.189583285938	0.00135469267373	0.00171319566477	2	1510577038.1136255	47.6279069767	0.53488372093
2.0	0.189583285938	0.00116301491533	0.00146280450033	2	1510577038.869225	47.6279069767	0.558139534884
